"entryID";"content";"category";"gender";"variantOf";"feminineOf";"phonetic1";"phonetic2";"originatingEntry";"processStatus";"typeModif";"raisonModif";"destinataireModif";"dateModif";"commentaireModif"
"76831";"in fine";"functionWord";NULL;NULL;NULL;"i n f i n e";"i n f i n e";"IN FINE, loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"76835";"infinitéisme hapax";"commonNoun";"masculine";NULL;NULL;"e~ f i n i t e i s m @ a p a k s";"e~ f i n i t E/ i s m @ a p a k s";"INFINITÉ, subst. fém.#vedette2:Infinitéisme (hapax) infinitisme, subst. masc.,";"0";NULL;NULL;NULL;NULL;NULL
"76918";"in globo";"functionWord";NULL;NULL;NULL;"i n g l o b o";"i n g l O/ b o";"GLOBAL, -ALE, -AUX, adj.#vedette2:In globo, loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"76948";"inmedias res";"functionWord";NULL;NULL;NULL;"i n m e d j a s R e s";"i n m e d j a s R e s";"IN(-)3 (IN , IN-)élém. de loc.#vedette3:inmedias res(fragment d'un vers d'Horace, Art poétique, v. 148 : [Homère jette le lecteu";"0";NULL;NULL;NULL;NULL;NULL
"76968";"in pace";"commonNoun";"masculine";NULL;NULL;"i n p a t S @";"i n p a t S @";"IN PACE, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"76969";"in partibus";"functionWord";NULL;NULL;NULL;"i n p a R t i b u s";"i n p a R t i b u s";"IN PARTIBUS, loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"76970";"in petto";"functionWord";NULL;NULL;NULL;"i n p e t o";"i n p E/ t o";"IN PETTO, loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"76973";"inprima instantia";"functionWord";NULL;NULL;NULL;"i n p R i m a i n s t a~ s j a";"i n p R i m a i n s t a~ s j a";"IN(-)3 (IN , IN-)élém. de loc.#vedette3:inprima instantia, loc. adv.,";"0";NULL;NULL;NULL;NULL;NULL
"77001";"insensu obvio";"functionWord";NULL;NULL;NULL;"i n s a~ s y O b v j o";"i n s a~ s y O/ b v j o";"IN(-)3 (IN , IN-)élém. de loc.#vedette3:insensu obvio, loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"77009";"in situ";"functionWord";NULL;NULL;NULL;"i n s i t y";"i n s i t y";"IN SITU, loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
